,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
0,14000US36005021301,1361.0,1361.0,72.0,210.0,0.0,0.0,1066.0,449.0,184.0,449.0,64.0,45.0,59.0,57.0,30.0,19.0,7.0,11.0,29.0,16.0,21.0,17.0,30.0,22.0,5.0,17.0,24970.0,457.0,457.0,449.0,8.0,449.0,76.0,373.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,373.0,373.0,0.0,0.0,0.0,16.0,29.0,22.0,12.0,0.0,13.0,0.0,0.0,0.0,9.0,3.0,11.0,36.0,30.0,102.0,90.0,0.0,0.0,0.0,1013.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,26.0,9.0,13.0,5.0,10.0,0.0,6.0,277800.0
1,14000US36005021302,6040.0,6040.0,28.0,2594.0,0.0,41.0,3377.0,2017.0,729.0,2017.0,390.0,175.0,125.0,116.0,193.0,158.0,121.0,87.0,126.0,153.0,145.0,130.0,98.0,0.0,0.0,0.0,30220.0,2158.0,2158.0,2017.0,141.0,2017.0,41.0,1976.0,141.0,41.0,0.0,0.0,0.0,0.0,0.0,100.0,1976.0,1934.0,0.0,0.0,67.0,70.0,174.0,17.0,12.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,177.0,560.0,333.0,250.0,120.0,0.0,1132.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,
2,14000US36005021501,4716.0,4716.0,55.0,1045.0,0.0,0.0,3616.0,1389.0,516.0,1389.0,239.0,157.0,153.0,88.0,103.0,31.0,53.0,64.0,50.0,100.0,89.0,48.0,151.0,31.0,32.0,0.0,27630.0,1445.0,1445.0,1389.0,56.0,1389.0,19.0,1370.0,56.0,38.0,0.0,0.0,0.0,0.0,0.0,18.0,1370.0,1337.0,0.0,28.0,17.0,16.0,69.0,74.0,63.0,0.0,0.0,13.0,101.0,39.0,0.0,8.0,6.0,20.0,77.0,228.0,250.0,276.0,52.0,0.0,1151.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,
3,14000US36005021502,6349.0,6349.0,24.0,1507.0,0.0,0.0,4749.0,2153.0,944.0,2153.0,412.0,333.0,210.0,197.0,170.0,131.0,80.0,110.0,73.0,166.0,44.0,62.0,38.0,87.0,40.0,0.0,22926.0,2221.0,2221.0,2153.0,68.0,2153.0,61.0,2092.0,68.0,0.0,21.0,0.0,0.0,0.0,0.0,47.0,2092.0,2021.0,0.0,0.0,12.0,49.0,162.0,33.0,109.0,122.0,26.0,69.0,50.0,21.0,37.0,0.0,38.0,44.0,100.0,511.0,426.0,174.0,0.0,38.0,1068.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,22.0,0.0,0.0,378200.0
4,14000US36005021601,4356.0,4356.0,236.0,1059.0,0.0,137.0,2733.0,1655.0,478.0,1655.0,183.0,90.0,178.0,206.0,171.0,142.0,109.0,82.0,79.0,81.0,64.0,93.0,91.0,23.0,56.0,7.0,29990.0,1760.0,1760.0,1655.0,105.0,1655.0,291.0,1364.0,105.0,14.0,0.0,0.0,0.0,0.0,0.0,91.0,1364.0,1317.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,16.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,13.0,27.0,465.0,522.0,217.0,16.0,0.0,1296.0,291.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,0.0,49.0,0.0,0.0,70.0,59.0,51.0,0.0,462100.0
5,14000US36005021602,5635.0,5635.0,68.0,1958.0,56.0,1096.0,2207.0,2429.0,458.0,2429.0,209.0,124.0,63.0,164.0,55.0,145.0,126.0,259.0,71.0,169.0,388.0,306.0,198.0,65.0,60.0,27.0,49750.0,2587.0,2587.0,2429.0,158.0,2429.0,411.0,2018.0,158.0,56.0,0.0,0.0,26.0,0.0,0.0,76.0,2018.0,2018.0,0.0,0.0,0.0,40.0,0.0,0.0,30.0,0.0,21.0,0.0,0.0,0.0,13.0,0.0,56.0,25.0,105.0,533.0,722.0,390.0,43.0,0.0,1314.0,411.0,9.0,0.0,0.0,0.0,0.0,21.0,0.0,12.0,0.0,0.0,8.0,20.0,14.0,101.0,72.0,38.0,0.0,27.0,0.0,89.0,0.0,0.0,0.0,0.0,132100.0
6,14000US36005021700,5147.0,5147.0,87.0,2469.0,32.0,43.0,2507.0,1679.0,671.0,1679.0,219.0,273.0,243.0,100.0,67.0,69.0,33.0,82.0,111.0,125.0,116.0,179.0,0.0,21.0,41.0,0.0,25304.0,1866.0,1866.0,1679.0,187.0,1679.0,17.0,1662.0,187.0,48.0,0.0,0.0,0.0,8.0,0.0,131.0,1662.0,1643.0,11.0,0.0,14.0,11.0,26.0,21.0,43.0,36.0,19.0,12.0,36.0,47.0,17.0,33.0,76.0,108.0,130.0,410.0,286.0,292.0,15.0,0.0,1111.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,
7,14000US36005021800,7017.0,7017.0,204.0,1907.0,0.0,166.0,4740.0,2320.0,566.0,2320.0,177.0,101.0,255.0,152.0,210.0,100.0,186.0,72.0,46.0,221.0,212.0,233.0,196.0,69.0,61.0,29.0,39596.0,2462.0,2462.0,2320.0,142.0,2320.0,486.0,1834.0,142.0,28.0,21.0,0.0,0.0,0.0,0.0,93.0,1834.0,1652.0,0.0,0.0,0.0,0.0,39.0,0.0,28.0,14.0,0.0,0.0,37.0,0.0,42.0,73.0,0.0,0.0,99.0,397.0,523.0,324.0,76.0,0.0,1296.0,486.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,14.0,0.0,0.0,27.0,48.0,38.0,0.0,85.0,36.0,187.0,0.0,0.0,376500.0
8,14000US36005021900,1045.0,1045.0,19.0,44.0,6.0,10.0,966.0,398.0,174.0,398.0,53.0,67.0,50.0,66.0,21.0,9.0,16.0,20.0,3.0,30.0,33.0,14.0,0.0,9.0,7.0,0.0,21686.0,452.0,452.0,398.0,54.0,398.0,0.0,398.0,54.0,48.0,0.0,0.0,0.0,0.0,0.0,6.0,398.0,392.0,0.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,8.0,10.0,0.0,8.0,5.0,0.0,0.0,22.0,0.0,85.0,128.0,82.0,25.0,0.0,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,14000US36005022000,2243.0,2243.0,45.0,476.0,0.0,175.0,1538.0,676.0,208.0,676.0,110.0,51.0,62.0,58.0,41.0,30.0,22.0,23.0,88.0,53.0,78.0,33.0,11.0,0.0,9.0,7.0,32222.0,720.0,720.0,676.0,44.0,676.0,13.0,663.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,40.0,663.0,638.0,0.0,0.0,0.0,3.0,5.0,0.0,18.0,30.0,0.0,25.0,0.0,31.0,0.0,7.0,0.0,14.0,36.0,190.0,152.0,85.0,42.0,0.0,1197.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,
