,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
651,14000US36047037000,4085,4085,2555,9,0,1196,229,1563,173,1563,94,52,40,82,92,121,51,32,59,68,145,250,60,155,84,178,66993.0,1746,1746,1563,183,1563,1043,520,183,23,0,21,0,3,0,136,520,450,0,0,0,0,0,0,0,0,0,0,11,0,8,0,0,32,87,56,157,70,29,70,1299.0,1043,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,38,64,72,19,151,498,138,17,566000.0
652,14000US36047037100,4357,4357,27,3752,12,63,492,1625,381,1625,193,130,102,203,70,40,16,66,82,142,134,148,164,85,19,31,44617.0,1790,1790,1625,165,1625,617,1008,165,58,0,30,62,0,0,15,1008,966,0,0,0,0,0,13,0,0,0,0,0,45,0,35,25,103,91,264,166,163,61,42,1162.0,617,0,0,0,24,0,0,0,10,12,0,0,0,0,0,0,26,0,0,30,99,182,218,16,0,459100.0
653,14000US36047037300,3918,3918,177,2688,0,48,905,1497,473,1497,279,187,84,97,94,97,100,61,23,93,197,93,18,0,47,27,30426.0,1704,1704,1497,207,1497,299,1198,207,96,16,12,39,13,0,31,1198,1181,0,0,19,22,41,14,0,41,41,16,23,41,46,36,76,113,50,161,178,169,94,17,1018.0,299,10,0,0,0,0,0,0,0,25,0,0,0,0,0,0,44,0,0,29,0,64,111,4,12,464800.0
654,14000US36047037401,4177,4177,3613,20,100,200,203,1816,295,1816,192,89,133,122,12,113,60,92,35,160,277,178,132,123,39,59,52083.0,1846,1846,1816,30,1816,762,1054,30,0,30,0,0,0,0,0,1054,1001,0,0,0,84,11,24,10,0,0,0,0,7,0,36,0,30,62,282,235,210,10,53,1210.0,762,8,0,19,0,21,0,0,0,0,0,0,0,18,7,0,41,6,25,23,133,117,228,79,37,468400.0
655,14000US36047037402,4367,4367,3109,184,0,527,499,1998,588,1998,426,196,176,164,117,119,190,122,0,58,107,146,88,20,38,31,26445.0,2084,2084,1998,86,1998,211,1787,86,0,0,40,0,46,0,0,1787,1729,0,0,45,97,132,14,36,27,0,9,134,0,113,40,0,189,133,270,409,49,32,58,921.0,211,0,0,0,0,0,0,0,0,0,0,0,11,4,0,11,0,0,62,22,0,19,68,14,0,289800.0
656,14000US36047037500,3228,3228,120,2398,0,95,542,1083,223,1083,92,122,51,47,50,68,26,138,95,40,77,162,35,55,7,18,43942.0,1253,1253,1083,170,1083,158,925,170,64,0,0,0,0,0,106,925,865,0,0,0,0,0,0,0,8,11,54,15,10,74,0,0,70,79,131,130,216,67,60,1213.0,158,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35,7,38,23,25,15,457900.0
657,14000US36047037700,4123,4123,330,3089,0,145,528,1510,282,1510,172,112,91,73,50,50,92,79,52,86,104,180,175,50,76,68,47093.0,1729,1729,1510,219,1510,496,1014,219,121,0,16,16,10,0,56,1014,1005,0,0,16,0,5,0,8,0,22,0,26,21,11,0,16,100,67,159,174,241,139,9,1324.0,496,0,0,0,0,0,0,0,0,12,0,9,0,9,0,0,11,0,0,0,30,53,347,10,15,589300.0
658,14000US36047037900,3412,3412,87,3071,0,0,212,1348,360,1348,147,155,67,64,53,108,50,86,75,167,89,124,81,25,24,33,41154.0,1653,1653,1348,305,1348,401,947,305,138,21,15,57,0,0,74,947,927,0,0,0,0,8,22,30,0,23,34,0,15,0,0,57,53,40,209,194,202,40,20,1217.0,401,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,23,0,9,0,63,112,140,0,31,473700.0
659,14000US36047038100,5047,5047,201,4151,0,0,637,1847,685,1847,323,301,131,215,114,154,17,80,31,91,146,126,46,60,12,0,23664.0,2148,2148,1847,301,1847,337,1510,301,17,0,46,166,0,0,72,1510,1510,0,0,45,134,131,53,36,80,102,40,125,31,86,55,34,19,111,191,113,75,49,0,615.0,337,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,5,0,0,10,0,20,185,95,7,660100.0
660,14000US36047038200,5841,5841,590,2390,0,1386,1320,2091,1099,2091,572,401,201,68,115,250,18,87,30,42,212,40,25,16,0,14,16888.0,2202,2202,2091,111,2091,81,2010,111,47,0,0,0,0,0,64,2010,1984,21,0,73,186,201,184,42,105,81,74,10,190,86,149,17,117,153,135,68,76,16,26,604.0,81,10,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,47,7,0,571800.0
