,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1,14000US36005000200,2014,74837.0,10,0.30384336475707036,1282.0,18,0.6031195840554593,410400.0,20,0.8266832917705735,0.022571148184494603,0.2131979695431472,0.41861844055736736,0.543728813559322,0.3911864406779661,0.0047457627118644066,0.0,0.06033898305084746
2,14000US36005000400,2014,77991.0,11,0.4480483782297966,1491.0,18,0.7291666666666666,354100.0,19,0.7736280487804879,0.028715003589375447,0.08741066520065971,0.6523684210526316,0.6576441102756893,0.25413533834586466,0.008020050125313283,0.016541353383458645,0.06365914786967418
3,14000US36005001600,2014,32354.0,5,0.2405857740585774,920.0,16,0.42838456507521255,418300.0,20,0.8506666666666667,0.01385809312638581,0.20920502092050208,0.37538721486905097,0.18400392541707555,0.754170755642787,0.02453385672227674,0.0,0.03729146221786065
4,14000US36005001900,2014,34635.0,5,0.3213429256594724,1126.0,17,0.4594240837696335,360000.0,19,0.8548387096774194,0.08135461268976256,0.32973621103117506,0.4579780755176614,0.06927374301675977,0.8625698324022346,0.03128491620111732,0.0,0.03687150837988827
5,14000US36005002000,2014,23423.0,3,0.2214765100671141,601.0,11,0.14065040650406505,370800.0,19,0.8755020080321285,0.012724634445808684,0.40369127516778525,0.3534985422740525,0.15714736509940044,0.7832123698327548,0.023982328810350267,0.018933417481855473,0.016724518775639
6,14000US36005002300,2014,14304.0,1,0.6664896441848115,398.0,6,0.2877813504823151,,30,0.0,0.00411522633744856,0.5650557620817844,0.2293193717277487,0.008673469387755102,0.9520408163265306,0.03214285714285714,0.0,0.007142857142857143
8,14000US36005002500,2014,15683.0,2,0.415273132664437,585.0,10,0.08415554265815438,480800.0,20,0.8181818181818182,0.011471903558234494,0.5769230769230769,0.24097222222222223,0.016089712335446125,0.8586055582642613,0.06825938566552901,0.011701608971233545,0.045343734763529986
9,14000US36005002701,2014,20159.0,3,0.2569060773480663,630.0,11,0.1141804788213628,,30,0.0,0.0,0.5313075506445673,0.2289890377588307,0.0,0.97224709042077,0.02775290957923008,0.0,0.0
10,14000US36005002702,2014,18416.0,2,0.34508627156789196,977.0,16,0.3046815042210284,,30,0.0,0.020713218022635062,0.4943735933983496,0.2749576988155668,0.02108222066057625,0.915671117357695,0.03373155305692199,0.0,0.029515108924806747
11,14000US36005002800,2014,50388.0,9,0.2791095890410959,951.0,16,0.7125246548323472,258800.0,18,0.5487012987012987,0.0019143752175426383,0.10488013698630137,0.5254874324641766,0.1273779983457403,0.8387096774193549,0.0,0.0,0.03391232423490488
12,14000US36005003100,2014,39962.0,6,0.1650294695481336,1014.0,17,0.548051948051948,30000.0,5,0.4838709677419355,0.004551365409622887,0.17092337917485265,0.43032329988851725,0.22752293577981653,0.7064220183486238,0.03302752293577982,0.0,0.03302752293577982
13,14000US36005003300,2014,19784.0,2,0.4056603773584906,479.0,8,0.24585365853658536,316700.0,19,0.4793388429752066,0.0033748701973001036,0.4588336192109777,0.33036967711745435,0.09901800327332243,0.8551554828150573,0.03436988543371522,0.0,0.011456628477905073
14,14000US36005003500,2014,22267.0,3,0.23071046600458364,773.0,14,0.11376751854905194,309100.0,19,0.7567567567567568,0.007194244604316547,0.3919022154316272,0.22821576763485477,0.05350686912509038,0.8929862617498192,0.015907447577729574,0.0,0.03759942154736081
15,14000US36005003700,2014,9327.0,0,0.5729166666666666,872.0,15,0.5625,,30,0.0,0.19095477386934673,0.5729166666666666,0.32608695652173914,0.0,1.0,0.0,0.0,0.0
16,14000US36005003800,2014,46534.0,8,0.15989159891598917,1056.0,17,0.47706422018348627,404000.0,20,0.8214285714285714,0.01841903300076746,0.2899728997289973,0.5064935064935064,0.32786885245901637,0.5362997658079626,0.04918032786885246,0.05152224824355972,0.0351288056206089
17,14000US36005003900,2014,27608.0,4,0.19691516709511567,930.0,16,0.280515117581187,444400.0,20,0.8125,0.020972644376899698,0.3491002570694087,0.3132499361756446,0.06463195691202872,0.8083482944344704,0.06328545780969479,0.0,0.06373429084380611
18,14000US36005004001,2014,47841.0,8,0.14314115308151093,970.0,16,0.2581967213114754,350000.0,19,0.4879032258064516,0.12129032258064516,0.14314115308151093,0.4063063063063063,0.4389380530973451,0.45132743362831856,0.0,0.05663716814159292,0.05309734513274336
19,14000US36005004100,2014,18516.0,2,0.4093161546085233,601.0,11,0.14423592493297588,315900.0,19,0.41830065359477125,0.006786981335801327,0.47274529236868185,0.2927955665024631,0.07132867132867132,0.8694638694638694,0.019580419580419582,0.011188811188811189,0.02843822843822844
20,14000US36005004200,2014,22135.0,3,0.3074659801397573,737.0,13,0.07550938873351977,218500.0,17,0.3034825870646766,0.020265824450585602,0.32548731151158516,0.3912769972740616,0.07188841201716738,0.9005722460658083,0.013590844062947067,0.0,0.013948497854077254
21,14000US36005004300,2014,21827.0,3,0.28081123244929795,766.0,14,0.08767908309455587,444700.0,20,0.8258426966292135,0.004451292586885807,0.44617784711388453,0.32981038234379856,0.08628211342704799,0.8458555501696559,0.04944255937954435,0.0,0.018419777023751818
22,14000US36005004400,2014,23102.0,3,0.2497005988023952,448.0,7,0.10529801324503311,407700.0,20,0.8625,0.006625258799171843,0.4,0.3076923076923077,0.09334889148191365,0.8809801633605601,0.0,0.0,0.025670945157526253
23,14000US36005004600,2014,44297.0,7,0.1618075801749271,744.0,13,0.3286573146292585,162500.0,15,0.06395348837209303,0.0162748643761302,0.22886297376093295,0.46045694200351495,0.24397163120567375,0.7290780141843972,0.00851063829787234,0.0,0.018439716312056736
24,14000US36005004800,2014,24437.0,3,0.293354943273906,1011.0,17,0.5439093484419264,354000.0,19,0.3333333333333333,0.015407554671968192,0.3841166936790924,0.23396946564885496,0.06586402266288952,0.8080736543909348,0.049575070821529746,0.0,0.0764872521246459
25,14000US36005005001,2014,31250.0,5,0.18063186813186813,1236.0,17,0.6195562859490551,455600.0,20,0.7428571428571429,0.0,0.32074175824175827,0.30278616985565626,0.13166144200626959,0.7811912225705329,0.015047021943573668,0.0,0.07210031347962383
26,14000US36005005002,2014,29338.0,4,0.1643835616438356,1098.0,17,0.5738705738705738,521300.0,21,0.7674418604651163,0.003453634950785702,0.4001141552511416,0.2663910218546958,0.04376590330788804,0.8478371501272265,0.019338422391857506,0.0,0.089058524173028
27,14000US36005005100,2014,20233.0,3,0.3306080735820133,494.0,8,0.270994332818135,,30,0.0,0.0032679738562091504,0.4225855901890649,0.28074314361545266,0.0,0.9630905511811023,0.02214566929133858,0.0,0.014763779527559055
28,14000US36005005200,2014,16810.0,2,0.27676240208877284,555.0,10,0.06868131868131869,350000.0,19,1.0,0.0042293233082706765,0.5078328981723238,0.2853087295954578,0.02952029520295203,0.9126691266912669,0.03198031980319803,0.025830258302583026,0.0
29,14000US36005005300,2014,16173.0,2,0.3064516129032258,785.0,14,0.10599078341013825,,30,0.0,0.015128593040847202,0.5253456221198156,0.4498898678414097,0.0,0.8071915685058897,0.14755114693118412,0.0,0.04525728456292622
30,14000US36005005400,2014,32254.0,5,0.145748987854251,1164.0,17,0.5761834319526628,436500.0,20,0.8201438848920863,0.0006315124723713293,0.3545401966454598,0.28911645629911886,0.1431513903192585,0.747167868177137,0.021112255406797117,0.007209062821833162,0.08135942327497425
31,14000US36005005600,2014,17708.0,2,0.28054298642533937,1002.0,17,0.47381546134663344,436400.0,20,0.37142857142857144,0.008364700961940611,0.5147058823529411,0.21182266009852216,0.0682261208576998,0.7933723196881092,0.05165692007797271,0.0,0.08674463937621832
32,14000US36005005902,2014,38244.0,6,0.20891364902506965,1135.0,17,0.5667789001122334,169300.0,15,0.5376344086021505,0.029061624649859945,0.27669452181987003,0.3873403019744483,0.16244541484716157,0.7781659388646288,0.0,0.0,0.059388646288209605
33,14000US36005006000,2014,43125.0,7,0.21656050955414013,1081.0,17,0.7636363636363637,304500.0,19,1.0,0.047818791946308725,0.2929936305732484,0.38186813186813184,0.088,0.7493333333333333,0.08,0.0,0.08266666666666667
34,14000US36005006100,2014,47993.0,8,0.26745778183477864,952.0,16,0.6813842482100239,24000.0,3,0.429220287660863,0.018717244821562267,0.14696485623003194,0.6561504142766093,0.5595086827615418,0.3684879288437103,0.02456586192291402,0.0,0.04743752647183397
35,14000US36005006200,2014,24668.0,3,0.2617252931323283,545.0,9,0.14495412844036698,405300.0,20,0.8089887640449438,0.0002603488674824265,0.3873534338358459,0.27622537792029317,0.03528945281522601,0.9115781126090404,0.01942902458366376,0.01070578905630452,0.022997620935765267
36,14000US36005006300,2014,33809.0,5,0.17331875341716785,1120.0,17,0.6527431421446384,250400.0,18,0.4666666666666667,0.0296875,0.3132859486057955,0.4231378763866878,0.11238761238761238,0.8011988011988012,0.038461538461538464,0.01048951048951049,0.037462537462537464
37,14000US36005006400,2014,27048.0,4,0.14054927302100162,1222.0,17,0.49385245901639346,539200.0,21,0.7428571428571429,0.04375876577840112,0.3715670436187399,0.45523724261414505,0.0966183574879227,0.7577639751552795,0.07108350586611456,0.03864734299516908,0.035886818495514144
