,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
0,14000US36005000100,9191,9191,594,5169,0,202,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,14000US36005000200,4858,4858,59,1241,0,259,3236,1347,278,1347,153,25,50,82,89,41,14,10,31,62,160,247,209,102,44,28,69514.0,1476,1476,1347,129,1347,798,549,129,29,0,0,17,0,0,83,549,549,0,0,0,15,0,0,22,15,0,0,0,0,0,23,24,0,63,106,120,126,35,0,1264.0,798,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,12,0,63,22,224,326,125,7,0,418100.0
2,14000US36005000400,5344,5344,213,1360,0,104,3495,1753,153,1753,82,52,64,82,13,78,66,112,10,149,185,289,232,139,168,32,73036.0,1912,1912,1753,159,1753,1266,487,159,16,0,42,15,23,0,63,487,465,0,0,0,0,0,0,0,0,0,23,0,11,0,0,18,24,28,75,82,167,37,22,1413.0,1266,0,0,9,0,0,11,0,0,0,0,0,0,0,0,21,47,8,55,237,431,285,155,0,7,356800.0
3,14000US36005001600,5215,5215,56,1437,0,0,3692,1945,415,1945,216,277,144,157,154,150,96,193,48,124,96,141,70,26,9,44,30817.0,2043,2043,1945,98,1945,378,1567,98,0,0,0,0,0,0,98,1567,1558,0,0,0,85,76,119,10,52,29,54,71,21,42,60,126,54,255,321,75,108,0,9,863.0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,178,39,123,31,0,410300.0
4,14000US36005001900,2562,2562,323,520,0,34,1567,831,289,831,180,35,29,29,102,66,66,36,37,92,37,48,28,0,46,0,33862.0,891,891,831,60,831,60,771,60,28,0,0,0,0,0,32,771,737,0,0,0,53,11,0,0,6,16,5,9,36,28,8,40,32,64,164,93,95,77,34,1092.0,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,11,0,0,0,348600.0
5,14000US36005002000,8456,8456,36,2756,0,197,5320,2980,1276,2980,778,360,402,203,117,238,158,61,54,132,81,208,131,0,33,24,19150.0,3161,3161,2980,181,2980,318,2662,181,64,13,0,0,57,0,47,2662,2652,15,0,119,244,215,143,247,281,139,133,119,83,54,151,85,148,46,178,127,44,81,10,472.0,318,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,63,22,19,0,371900.0
6,14000US36005002300,4672,4672,106,1384,0,0,3182,1835,999,1835,609,377,186,216,84,41,15,19,72,49,27,111,21,8,0,0,13902.0,1933,1933,1835,98,1835,17,1818,98,79,0,0,0,0,0,19,1818,1818,0,8,51,404,207,240,129,200,57,135,39,60,23,53,46,88,14,48,0,8,8,0,350.0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,
7,14000US36005002400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,14000US36005002500,5108,5108,102,684,0,248,4074,1814,1057,1814,527,401,102,221,60,77,63,0,55,114,93,78,13,0,0,10,14628.0,2063,2063,1814,249,1814,23,1791,249,83,44,12,0,0,0,110,1791,1760,7,14,61,186,187,113,28,156,52,39,42,55,35,56,0,164,142,200,122,101,0,31,594.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,
9,14000US36005002701,3172,3172,0,1122,0,0,2050,1059,491,1059,242,155,47,68,114,58,19,71,66,25,69,69,3,8,45,0,26094.0,1105,1105,1059,46,1059,0,1059,46,46,0,0,0,0,0,0,1059,1059,0,0,16,128,54,73,37,36,0,58,82,77,51,6,85,94,20,85,83,68,6,0,630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,14000US36005002702,4723,4723,83,1459,12,0,3119,1380,665,1380,388,152,179,74,123,139,144,15,12,62,33,40,19,0,0,0,19237.0,1465,1465,1380,85,1380,23,1357,85,43,18,0,0,0,0,24,1357,1357,0,0,36,172,58,33,46,59,0,31,18,21,23,30,67,42,98,260,186,177,0,0,943.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,
11,14000US36005002800,5804,5804,0,3902,0,27,1811,2340,179,2340,104,124,187,160,86,146,187,121,113,218,214,323,205,91,27,34,48717.0,2427,2427,2340,87,2340,259,2081,87,0,0,0,0,0,0,87,2081,2081,0,0,0,0,0,0,25,0,0,12,61,37,52,6,163,613,192,671,235,14,0,0,937.0,259,0,0,0,0,0,0,0,0,0,0,14,0,0,16,20,12,25,18,76,12,66,0,0,0,266100.0
12,14000US36005003100,1272,1272,4,554,0,21,691,478,113,478,74,28,84,21,57,8,22,33,30,54,21,36,0,10,0,0,28047.0,531,531,478,53,478,100,378,53,0,35,0,0,0,0,18,378,378,0,0,0,2,17,4,11,14,3,5,0,5,3,4,0,28,82,138,62,0,0,0,1020.0,100,0,0,0,0,28,3,0,17,7,11,8,0,0,13,0,10,0,3,0,0,0,0,0,0,52900.0
13,14000US36005003300,3985,3985,34,1102,0,0,2835,1156,572,1156,232,160,156,167,45,59,61,70,13,70,51,48,16,8,0,0,20852.0,1225,1225,1156,69,1156,108,1048,69,54,0,0,0,0,0,15,1048,1048,0,26,7,87,78,82,82,56,77,66,8,17,13,7,10,29,18,165,111,83,26,0,522.0,108,0,0,0,0,0,0,0,0,0,0,19,0,0,11,0,0,0,0,12,10,31,25,0,0,406500.0
14,14000US36005003500,3776,3776,23,1051,0,0,2678,1289,478,1289,282,160,145,67,92,164,51,23,41,109,74,58,10,13,0,0,24321.0,1346,1346,1289,57,1289,84,1205,57,13,0,0,14,0,0,30,1205,1162,0,51,0,127,45,64,21,23,57,115,36,6,9,38,51,120,52,176,131,40,0,43,736.0,84,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,33,8,27,0,0,0,289400.0
15,14000US36005003700,242,242,13,54,0,0,175,100,36,100,36,0,5,0,0,15,14,0,11,0,19,0,0,0,0,0,34000.0,100,100,100,0,100,0,100,0,0,0,0,0,0,0,0,100,100,10,0,0,0,11,0,0,0,0,0,0,0,0,0,5,35,20,19,0,0,0,0,869.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,14000US36005003800,1291,1291,27,512,0,0,700,397,148,397,77,18,56,34,0,11,5,0,19,22,33,54,61,0,0,7,36250.0,441,441,397,44,397,154,243,44,12,0,0,0,19,0,13,243,243,0,0,13,15,20,12,0,13,0,0,4,5,22,0,0,33,15,21,49,21,0,0,853.0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,77,28,7,0,445500.0
17,14000US36005003900,6049,6049,97,1073,0,86,4793,1894,699,1894,428,152,126,218,154,90,140,85,7,94,106,57,137,7,88,5,25513.0,2205,2205,1894,311,1894,129,1765,311,129,28,0,0,0,0,154,1765,1745,0,0,56,56,22,112,68,80,12,35,22,80,83,58,52,148,126,253,273,168,41,20,892.0,129,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,39,39,38,0,0,432100.0
18,14000US36005004001,1470,1470,120,279,0,357,537,490,77,490,26,0,50,35,19,15,45,21,51,25,37,60,54,12,18,22,46809.0,564,564,490,74,490,240,250,74,0,0,0,0,32,0,42,250,241,0,0,0,0,0,0,0,0,0,18,0,0,5,44,25,13,24,29,19,51,13,9,965.0,240,0,0,9,4,7,20,6,0,0,0,0,0,0,0,0,0,30,4,22,25,84,22,0,7,372000.0
19,14000US36005004100,6218,6218,33,1455,0,0,4720,2025,915,2025,513,329,294,154,88,54,10,144,110,78,109,107,4,0,0,31,18021.0,2189,2189,2025,164,2025,159,1866,164,49,29,0,0,24,0,62,1866,1856,0,0,91,246,173,60,99,88,62,93,34,110,62,149,93,33,124,80,127,86,46,10,574.0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,47,18,30,7,0,48,0,318300.0
