,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1,14000US36005000200,2013,69514.0,10,0.348181143281366,1264.0,18,0.6411657559198543,418100.0,20,0.8458646616541353,0.01214491560312886,0.20638455827765403,0.46716514954486343,0.540650406504065,0.3719512195121951,0.01964769647696477,0.0,0.06775067750677506
2,14000US36005000400,2013,73036.0,10,0.3553907586993725,1413.0,18,0.6967741935483871,356800.0,19,0.7527646129541864,0.03985778443113772,0.08727895037079293,0.5768051296347924,0.6621338912133892,0.2547071129707113,0.008368200836820083,0.01202928870292887,0.06276150627615062
3,14000US36005001600,2013,30817.0,5,0.20565552699228792,863.0,15,0.279204107830552,410300.0,20,0.8994708994708994,0.010738255033557046,0.2133676092544987,0.4,0.18502202643171806,0.7670093000489476,0.0,0.0,0.047968673519334315
4,14000US36005001900,2013,33862.0,5,0.2815884476534296,1092.0,17,0.4355495251017639,348600.0,19,0.8833333333333333,0.12607338017174083,0.34777376654632974,0.4400256574727389,0.06734006734006734,0.8653198653198653,0.031425364758698095,0.0,0.03591470258136925
5,14000US36005002000,2013,19150.0,2,0.3238255033557047,472.0,8,0.20852187028657618,371900.0,19,0.8144654088050315,0.004257332071901609,0.42818791946308726,0.3678500986193294,0.1006010756089845,0.8421385637456501,0.024359379943055995,0.018032268269534957,0.014868712432774439
6,14000US36005002300,2013,13902.0,1,0.638692098092643,350.0,6,0.31298129812981296,,30,0.0,0.022688356164383562,0.5444141689373297,0.23025623025623027,0.008794619762027936,0.9405069839627522,0.04086911536471805,0.0,0.00982928091050181
8,14000US36005002500,2013,14628.0,1,0.5678059536934951,594.0,10,0.07727272727272727,,30,0.0,0.019968676585747847,0.5826901874310915,0.20070921985815604,0.011148812409112942,0.8681531749878817,0.06156083373727581,0.0,0.05913717886572952
9,14000US36005002701,2013,26094.0,4,0.22662889518413598,630.0,11,0.19830028328611898,,30,0.0,0.0,0.4636449480642115,0.21987784564131038,0.0,0.9583710407239819,0.0416289592760181,0.0,0.0
10,14000US36005002702,2013,19237.0,2,0.29347826086956524,943.0,16,0.2947678703021371,,30,0.0,0.017573576116874868,0.48188405797101447,0.28177704648292884,0.015699658703071672,0.9262798634812287,0.041638225255972695,0.0,0.016382252559726963
11,14000US36005002800,2013,48717.0,8,0.19316239316239317,937.0,16,0.7092743873137914,266100.0,18,0.4092664092664093,0.0,0.0764957264957265,0.5577852998065764,0.10671611042439226,0.857437165224557,0.0,0.0,0.03584672435105068
12,14000US36005003100,2013,28047.0,4,0.1799163179916318,1020.0,17,0.746031746031746,52900.0,8,0.35,0.0031446540880503146,0.23640167364016737,0.327027027027027,0.18832391713747645,0.711864406779661,0.06591337099811675,0.0,0.03389830508474576
13,14000US36005003300,2013,20852.0,3,0.31833910034602075,522.0,9,0.14408396946564886,406500.0,20,0.6111111111111112,0.008531994981179424,0.49480968858131485,0.3138992537313433,0.08816326530612245,0.8555102040816327,0.044081632653061226,0.0,0.012244897959183673
14,14000US36005003500,2013,24321.0,3,0.23584173778122575,736.0,13,0.08433734939759036,289400.0,18,0.4880952380952381,0.0060911016949152545,0.3708301008533747,0.24031731217918806,0.06240713224368499,0.8952451708766717,0.009658246656760773,0.0,0.03268945022288262
15,14000US36005003700,2013,34000.0,5,0.29,869.0,15,0.6,,30,0.0,0.05371900826446281,0.36,0.2441860465116279,0.0,1.0,0.0,0.0,0.0
16,14000US36005003800,2013,36250.0,6,0.04030226700251889,853.0,15,0.19753086419753085,445500.0,20,0.8571428571428571,0.020914020139426802,0.37279596977329976,0.5431606905710491,0.3492063492063492,0.5510204081632653,0.027210884353741496,0.04308390022675737,0.02947845804988662
