,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1,14000US36005000200,2017,62773.0,10,0.267221801665405,1250.0,18,0.5215384615384615,399400.0,19,0.6350931677018633,0.00771055753262159,0.22710068130204392,0.40255962769051773,0.4395904436860068,0.4621160409556314,0.0,0.0,0.09829351535836177
2,14000US36005000400,2017,82697.0,11,0.3979328165374677,1278.0,18,0.6625916870415648,376500.0,19,0.7564102564102564,0.0344885598923284,0.1235142118863049,0.6624401913875598,0.6997167138810199,0.21388101983002833,0.0339943342776204,0.0,0.05240793201133145
3,14000US36005001600,2017,33118.0,5,0.19775739041794088,989.0,16,0.460848774656306,389600.0,19,0.8232931726907631,0.03695829926410466,0.2838939857288481,0.3682422870082083,0.12176039119804401,0.8376528117359413,0.03080684596577017,0.0,0.009779951100244499
4,14000US36005001900,2017,40117.0,7,0.20639834881320948,1181.0,17,0.519163763066202,375000.0,19,0.86,0.07738729144479943,0.29102167182662536,0.528034839412085,0.09832841691248771,0.8544739429695182,0.00983284169124877,0.00983284169124877,0.02753195673549656
5,14000US36005002000,2017,18370.0,2,0.3441769681197137,607.0,11,0.09580838323353294,391800.0,19,0.944043321299639,0.013738551207327226,0.5286271958360442,0.2800982800982801,0.17307091533895658,0.7872539831302718,0.020618556701030927,0.0,0.019056544829740705
6,14000US36005002300,2017,17426.0,2,0.4515640766902119,438.0,7,0.1924643584521385,,30,0.0,0.0023241073315022186,0.5010090817356205,0.20906171958615768,0.003929273084479371,0.9695481335952849,0.026522593320235755,0.0,0.0
7,14000US36005002400,2017,,15,1.0,,30,0.0,,30,0.0,0.46153846153846156,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,14000US36005002500,2017,22771.0,3,0.19153439153439153,815.0,15,0.1145952109464082,493300.0,20,0.6707317073170732,0.024479166666666666,0.5015873015873016,0.2870744373918061,0.03970944309927361,0.875544794188862,0.03583535108958838,0.008716707021791767,0.04019370460048426
9,14000US36005002701,2017,17383.0,2,0.2983947119924457,434.0,7,0.12275731822474033,,30,0.0,0.0,0.5854579792256847,0.2923784494086728,0.0,0.9715596330275229,0.014678899082568808,0.0,0.013761467889908258
10,14000US36005002702,2017,13216.0,1,0.6059986366734833,1001.0,17,0.3407142857142857,,30,0.0,0.01762891141472014,0.5685071574642127,0.2761904761904762,0.038995373430270985,0.930601454064772,0.0,0.0,0.03040317250495704
11,14000US36005002800,2017,52294.0,9,0.3828355069415229,983.0,16,0.6758298755186722,261600.0,18,0.7260579064587973,0.01364558362529965,0.04501472444257468,0.5825653798256538,0.18326530612244898,0.7869387755102041,0.0,0.0,0.02979591836734694
12,14000US36005003100,2017,42353.0,7,0.18085106382978725,1176.0,17,0.593103448275862,,30,0.0,0.017313432835820895,0.22872340425531915,0.4362745098039216,0.22279792746113988,0.7512953367875648,0.0,0.0,0.025906735751295335
13,14000US36005003300,2017,20413.0,3,0.3067434210526316,661.0,12,0.05806451612903226,402300.0,20,0.8240740740740741,0.015163823449769834,0.4769736842105263,0.30198019801980197,0.08398133748055987,0.8615863141524106,0.041990668740279936,0.0,0.012441679626749611
14,14000US36005003500,2017,31638.0,5,0.2003012048192771,1004.0,17,0.4320066334991708,423700.0,20,0.6363636363636364,0.0026171159382360636,0.37123493975903615,0.2874725274725275,0.07076483202287348,0.8784846318799142,0.03859899928520372,0.0,0.012151536812008578
15,14000US36005003700,2017,,15,0.0,1035.0,17,0.6083916083916084,,30,0.0,0.1917808219178082,0.38461538461538464,0.2548076923076923,0.0,1.0,0.0,0.0,0.0
16,14000US36005003800,2017,36667.0,6,0.1354679802955665,1019.0,17,0.38652482269503546,374600.0,19,0.6607142857142857,0.009742519137091163,0.27832512315270935,0.4381909547738693,0.251685393258427,0.6606741573033708,0.06741573033707865,0.0,0.020224719101123594
17,14000US36005003900,2017,30357.0,5,0.1299093655589124,1149.0,17,0.42443729903536975,222100.0,17,0.1619047619047619,0.06843812760698285,0.32779456193353473,0.2768020969855832,0.04637809187279152,0.8308303886925795,0.03356890459363958,0.0,0.0892226148409894
18,14000US36005004001,2017,49706.0,8,0.15384615384615385,1095.0,17,0.26339285714285715,423300.0,20,0.7325581395348837,0.11764705882352941,0.1437246963562753,0.4343240651965484,0.46153846153846156,0.4221824686940966,0.017889087656529516,0.06440071556350627,0.03398926654740608
19,14000US36005004100,2017,20137.0,3,0.2600985221674877,548.0,9,0.15713522180652056,381500.0,19,0.5911949685534591,0.016313488059199462,0.4896551724137931,0.2737393582187295,0.0723055934515689,0.8508412914961346,0.040927694406548434,0.0,0.035925420645748066
20,14000US36005004200,2017,30710.0,5,0.15995567048393056,888.0,15,0.1753055204382638,143800.0,14,0.30914826498422715,0.04594317890964935,0.32065016623568526,0.408699306577012,0.11402877697841726,0.8597122302158273,0.026258992805755395,0.0,0.0
21,14000US36005004300,2017,22940.0,3,0.23937469467513434,781.0,14,0.07327586206896551,424500.0,20,0.7120418848167539,0.0008077544426494346,0.48949682462139715,0.30706961683756073,0.08863109048723898,0.8612529002320186,0.044547563805104405,0.0,0.005568445475638051
22,14000US36005004400,2017,19077.0,2,0.4480440097799511,438.0,7,0.13668600902643455,383000.0,19,0.8235294117647058,0.03171390013495277,0.4284841075794621,0.3460180462926638,0.05020673360897814,0.9161252215002953,0.010632014176018901,0.0,0.02303603071470762
