,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female
1814,14000US36081063200,0.9290843806104129,0.013464991023339317,0.013464991023339317,43.4,0.400359066427289,0.599640933572711
1815,14000US36081063301,0.0,0.24429727740986018,0.24429727740986018,45.5,0.4687270051508462,0.5312729948491538
1816,14000US36081063302,0.0,0.29477858559153997,0.29477858559153997,41.8,0.4514210178453404,0.5485789821546596
1817,14000US36081063500,0.010931021485111195,0.32303053147380323,0.32303053147380323,40.7,0.4640030154542028,0.5359969845457973
1818,14000US36081063700,0.0,0.3244945309910507,0.3244945309910507,43.8,0.5147497514086842,0.4852502485913159
1819,14000US36081063800,0.8315092898956478,0.05930262153219649,0.05930262153219649,37.0,0.46398574700941714,0.5360142529905828
1820,14000US36081063900,0.0239309533150255,0.2075323656335818,0.2075323656335818,42.4,0.43899568458218907,0.5610043154178109
1821,14000US36081064101,0.005445544554455445,0.24801980198019802,0.24801980198019802,49.1,0.4618811881188119,0.5381188118811882
1822,14000US36081064102,0.0,0.0,0.0,61.1,0.3283582089552239,0.6716417910447762
1823,14000US36081064500,0.009245742092457421,0.15961070559610704,0.15961070559610704,44.3,0.4554744525547445,0.5445255474452555
1824,14000US36081064600,0.9282881692002644,0.0495703899537343,0.0495703899537343,42.3,0.46497025776602774,0.5350297422339723
1825,14000US36081065000,0.9082236842105263,0.04013157894736842,0.04013157894736842,39.0,0.4338815789473684,0.5661184210526315
1826,14000US36081065400,0.7761888925839707,0.12371134020618557,0.12371134020618557,36.4,0.43930828067841704,0.560691719321583
1827,14000US36081065501,,,,,,
1828,14000US36081065600,0.8542082169924212,0.05644196250498604,0.05644196250498604,33.3,0.4543278819305943,0.5456721180694056
1829,14000US36081065702,0.038231780167264036,0.1135005973715651,0.1135005973715651,45.8,0.472520908004779,0.527479091995221
1830,14000US36081065703,0.0003498950314905528,0.16340097970608816,0.16340097970608816,41.4,0.5265920223932821,0.473407977606718
1831,14000US36081065900,0.0,0.10668877833056938,0.10668877833056938,41.1,0.43338861249309013,0.5666113875069099
1832,14000US36081066000,0.8132275132275132,0.09973544973544973,0.09973544973544973,32.6,0.4531746031746032,0.5468253968253968
1833,14000US36081066100,0.0,0.10328638497652583,0.10328638497652583,49.2,0.4755197853789403,0.5244802146210596
1834,14000US36081066300,0.0,0.055053086905230045,0.055053086905230045,45.5,0.43570585922139204,0.564294140778608
1835,14000US36081066400,0.836161028009236,0.049593414315831745,0.049593414315831745,33.8,0.41170565204296755,0.5882943479570324
1836,14000US36081066501,0.00030111412225233364,0.04637157482685938,0.04637157482685938,46.1,0.47726588376994883,0.5227341162300512
1837,14000US36081066701,0.0031821797931583136,0.16746221161495625,0.16746221161495625,37.2,0.4884645982498011,0.5115354017501988
1838,14000US36081066900,0.0,0.028553693358162633,0.028553693358162633,45.0,0.4792054624456859,0.520794537554314
1839,14000US36081067100,0.013500482160077145,0.0742526518804243,0.0742526518804243,47.9,0.5202507232401157,0.47974927675988427
1840,14000US36081067700,0.009836065573770493,0.04918032786885246,0.04918032786885246,46.1,0.5060109289617486,0.49398907103825135
1841,14000US36081067900,0.02828116419549698,0.3226249313563976,0.3226249313563976,55.0,0.4670510708401977,0.5329489291598023
1842,14000US36081068000,0.859329587289285,0.055028095330362334,0.055028095330362334,40.2,0.4690951366014338,0.5309048633985661
1843,14000US36081068200,0.9293089753772835,0.035742652899126294,0.035742652899126294,38.2,0.4114376489277204,0.5885623510722796
1844,14000US36081068300,0.041185443451732404,0.4724340814992373,0.4724340814992373,40.8,0.510350838962737,0.489649161037263
1845,14000US36081068700,0.0073609006278415245,0.1870534747780905,0.1870534747780905,41.6,0.46113877462654257,0.5388612253734575
1846,14000US36081069000,0.9727762803234501,0.008355795148247979,0.008355795148247979,35.2,0.41859838274932615,0.5814016172506739
1847,14000US36081069300,0.01949317738791423,0.301364522417154,0.301364522417154,43.7,0.447953216374269,0.552046783625731
1848,14000US36081069400,0.8153426318981201,0.12219526986052152,0.12219526986052152,33.1,0.45512431776834444,0.5448756822316555
1849,14000US36081069500,0.0,0.25216919739696314,0.25216919739696314,43.9,0.43872017353579174,0.5612798264642083
1850,14000US36081069701,0.0453934998656997,0.22992210582863282,0.22992210582863282,35.0,0.500402900886382,0.49959709911361805
1851,14000US36081069702,0.009145470134324093,0.055158616747642185,0.055158616747642185,46.9,0.5187196341811946,0.4812803658188054
1852,14000US36081070300,0.026284348864994027,0.23715651135005975,0.23715651135005975,42.1,0.4486260454002389,0.551373954599761
1853,14000US36081070700,0.004873726185201595,0.18387239698715108,0.18387239698715108,46.0,0.46743464776251664,0.5325653522374834
1854,14000US36081070900,0.009704968944099378,0.08618012422360248,0.08618012422360248,43.7,0.4588509316770186,0.5411490683229814
1855,14000US36081071100,0.009279086366880799,0.11509635974304068,0.11509635974304068,41.5,0.47109207708779444,0.5289079229122056
1856,14000US36081071303,0.009921770654455257,0.1938561343255104,0.1938561343255104,40.1,0.5128792215226102,0.4871207784773898
1857,14000US36081071304,0.053244861628095164,0.10584236931542321,0.10584236931542321,44.6,0.45363327399255543,0.5463667260074446
1858,14000US36081071305,0.01054516514126542,0.19259848786311182,0.19259848786311182,39.2,0.5280541185833665,0.4719458814166335
1859,14000US36081071306,0.041480536056158264,0.20931716656030633,0.20931716656030633,35.8,0.4711231652839821,0.5288768347160179
1860,14000US36081071600,,,,,,
1861,14000US36081071701,0.021772345301757066,0.109816653934301,0.109816653934301,47.4,0.4255156608097785,0.5744843391902216
1862,14000US36081071702,0.018618618618618618,0.1954954954954955,0.1954954954954955,50.9,0.4756756756756757,0.5243243243243243
1863,14000US36081071900,0.03913405495420483,0.1582014987510408,0.1582014987510408,40.9,0.537052456286428,0.462947543713572
1864,14000US36081072100,0.006383447061413163,0.1919436495707682,0.1919436495707682,46.5,0.4609289016068677,0.5390710983931323
1865,14000US36081072300,0.04423812124522119,0.07864554888039323,0.07864554888039323,49.4,0.4893500819224468,0.5106499180775532
1866,14000US36081072900,0.02943722943722944,0.07965367965367966,0.07965367965367966,49.0,0.4883116883116883,0.5116883116883116
1867,14000US36081073100,0.014057507987220448,0.08498402555910543,0.08498402555910543,43.0,0.42619808306709267,0.5738019169329074
1868,14000US36081073700,0.0005704506560182544,0.09241300627495722,0.09241300627495722,40.6,0.39247005134055907,0.607529948659441
