,GEOID,perc_black,perc_hispanic,perc_asian,m_age,perc_male,perc_female,year
0,14000US36005000200,0.2613012251795522,0.6584283903675539,0.6584283903675539,30.9,0.4879594423320659,0.5120405576679341,2012
1,14000US36005000400,0.25695643830358855,0.6649395509499136,0.6649395509499136,36.0,0.505277298023412,0.49472270197658796,2012
2,14000US36005001600,0.32475131655939143,0.6520382289838111,0.6520382289838111,39.9,0.45484688901891945,0.5451531109810805,2012
3,14000US36005001900,0.2574380165289256,0.5913223140495868,0.5913223140495868,30.9,0.5632231404958677,0.43677685950413225,2012
4,14000US36005002000,0.3068168485275138,0.6550510383667723,0.6550510383667723,34.3,0.42825296257186435,0.5717470374281356,2012
5,14000US36005002300,0.2542372881355932,0.7254655785729232,0.7254655785729232,36.3,0.3820883029922578,0.6179116970077422,2012
6,14000US36005002500,0.1588296760710554,0.7885057471264367,0.7885057471264367,29.8,0.48066875653082547,0.5193312434691745,2012
7,14000US36005002701,0.39806451612903226,0.6019354838709677,0.6019354838709677,33.0,0.4796774193548387,0.5203225806451612,2012
8,14000US36005002702,0.22815224324899,0.7554752285775037,0.7554752285775037,26.0,0.5118009780990856,0.4881990219009143,2012
9,14000US36005002800,0.7044250811549633,0.28088159917990774,0.28088159917990774,41.6,0.40389543823680163,0.5961045617631984,2012
10,14000US36005003100,0.27055067837190744,0.7158818834796489,0.7158818834796489,34.8,0.4565043894652833,0.5434956105347167,2012
11,14000US36005003300,0.27121871599564745,0.7130032644178455,0.7130032644178455,28.5,0.45946681175190424,0.5405331882480957,2012
12,14000US36005003500,0.231266846361186,0.7498652291105121,0.7498652291105121,29.2,0.505121293800539,0.4948787061994609,2012
13,14000US36005003700,0.057777777777777775,0.9422222222222222,0.9422222222222222,36.4,0.6533333333333333,0.3466666666666667,2012
14,14000US36005003800,0.47455295735900965,0.4862448418156809,0.4862448418156809,29.4,0.4518569463548831,0.548143053645117,2012
15,14000US36005003900,0.15031315240083507,0.7828810020876826,0.7828810020876826,28.6,0.5803757828810021,0.4196242171189979,2012
16,14000US36005004001,0.13012729844413012,0.34582743988684583,0.34582743988684583,39.9,0.43988684582743987,0.5601131541725601,2012
17,14000US36005004100,0.2997940104579306,0.6919664078592933,0.6919664078592933,23.8,0.4715575978450325,0.5284424021549675,2012
18,14000US36005004200,0.42920616113744076,0.551095971563981,0.551095971563981,37.1,0.4209123222748815,0.5790876777251185,2012
19,14000US36005004300,0.18506751389992057,0.8071882446386021,0.8071882446386021,30.1,0.4837172359015091,0.5162827640984908,2012
20,14000US36005004400,0.3202094240837696,0.5937172774869109,0.5937172774869109,35.0,0.44502617801047123,0.5549738219895288,2012
21,14000US36005004600,0.21209068010075566,0.7692695214105794,0.7692695214105794,28.9,0.4664987405541562,0.5335012594458438,2012
22,14000US36005004800,0.17404688609992897,0.7497040018943879,0.7497040018943879,33.6,0.5107743310442813,0.4892256689557187,2012
23,14000US36005005001,0.32101286501939963,0.666938942209516,0.666938942209516,29.9,0.39575250153154995,0.60424749846845,2012
24,14000US36005005002,0.16046758767268862,0.7752391073326249,0.7752391073326249,26.4,0.5,0.5,2012
25,14000US36005005100,0.39056742815033163,0.6040899042004422,0.6040899042004422,31.6,0.4397568165070007,0.5602431834929993,2012
26,14000US36005005200,0.3036760788492275,0.6542354821523708,0.6542354821523708,39.4,0.49493873201917954,0.5050612679808204,2012
27,14000US36005005300,0.5279819106840022,0.45251554550593553,0.45251554550593553,32.0,0.4505370265686829,0.5494629734313171,2012
28,14000US36005005400,0.24417808219178083,0.7284246575342466,0.7284246575342466,30.0,0.502568493150685,0.4974315068493151,2012
29,14000US36005005600,0.3214904679376083,0.634315424610052,0.634315424610052,40.5,0.47920277296360486,0.5207972270363952,2012
30,14000US36005005902,0.22923076923076924,0.7276923076923076,0.7276923076923076,32.7,0.41384615384615386,0.5861538461538461,2012
31,14000US36005006000,0.06986027944111776,0.8809048569527611,0.8809048569527611,27.1,0.4863606121091151,0.5136393878908849,2012
32,14000US36005006100,0.8551414962174279,0.10591202017371813,0.10591202017371813,52.3,0.40515550574390585,0.5948444942560941,2012
33,14000US36005006200,0.3110160132523468,0.6888459414688017,0.6888459414688017,28.5,0.4779127553837659,0.5220872446162341,2012
34,14000US36005006300,0.24049935744446485,0.661648613915917,0.661648613915917,32.0,0.47622544519919224,0.5237745548008078,2012
35,14000US36005006400,0.293956727182293,0.5901517035563293,0.5901517035563293,32.3,0.47152449639393185,0.5284755036060681,2012
36,14000US36005006500,0.3181818181818182,0.6263421617752326,0.6263421617752326,27.4,0.4661775232641374,0.5338224767358626,2012
37,14000US36005006700,0.17474340652202155,0.7666623359750552,0.7666623359750552,27.1,0.43627387293750813,0.5637261270624919,2012
38,14000US36005006800,0.3117408906882591,0.601889338731444,0.601889338731444,30.9,0.5057354925775979,0.49426450742240213,2012
39,14000US36005006900,0.33000723065798987,0.6513376717281273,0.6513376717281273,28.6,0.46319595083152565,0.5368040491684744,2012
40,14000US36005007000,0.2461858529819695,0.651872399445215,0.651872399445215,28.0,0.4981507165973185,0.5018492834026814,2012
41,14000US36005007100,0.4091710758377425,0.5846560846560847,0.5846560846560847,24.0,0.44929453262786595,0.550705467372134,2012
42,14000US36005007200,0.10079805690492713,0.5386884108258154,0.5386884108258154,30.7,0.4993060374739764,0.5006939625260236,2012
43,14000US36005007300,0.205609881626351,0.7053525476067937,0.7053525476067937,27.3,0.4801852804940813,0.5198147195059187,2012
44,14000US36005007400,0.2357405140758874,0.7388004895960832,0.7388004895960832,39.0,0.4589963280293758,0.5410036719706243,2012
45,14000US36005007500,0.3299954483386436,0.6477014110150204,0.6477014110150204,31.1,0.39485662266727356,0.6051433773327265,2012
46,14000US36005007600,0.17559418233416105,0.669918410783966,0.669918410783966,30.0,0.5193330968428521,0.48066690315714794,2012
47,14000US36005007700,0.27397986221515636,0.6968733439321675,0.6968733439321675,31.6,0.42342342342342343,0.5765765765765766,2012
48,14000US36005007800,0.17411865864144455,0.6640871309830897,0.6640871309830897,28.8,0.4931212381771281,0.5068787618228718,2012
49,14000US36005007900,0.22051683633516053,0.752231793265466,0.752231793265466,26.1,0.4028191072826938,0.5971808927173062,2012
50,14000US36005008300,0.20634920634920634,0.7488328664799253,0.7488328664799253,27.9,0.4745098039215686,0.5254901960784314,2012
51,14000US36005008400,0.31214574898785424,0.6105263157894737,0.6105263157894737,35.8,0.42874493927125507,0.571255060728745,2012
52,14000US36005008500,0.2086725663716814,0.7658407079646018,0.7658407079646018,26.9,0.45876106194690264,0.5412389380530973,2012
53,14000US36005008600,0.19906078789459952,0.7831985390033916,0.7831985390033916,30.3,0.429950430472215,0.5700495695277851,2012
54,14000US36005008700,0.1976284584980237,0.7674571805006588,0.7674571805006588,28.4,0.4589920948616601,0.54100790513834,2012
55,14000US36005008900,0.11415672363753628,0.7981296356014189,0.7981296356014189,29.0,0.5211222186391486,0.47887778136085135,2012
56,14000US36005009000,0.21706864564007422,0.6607474158494566,0.6607474158494566,30.2,0.4455340577789557,0.5544659422210443,2012
57,14000US36005009200,0.09579349904397706,0.6652007648183557,0.6652007648183557,32.9,0.46022944550669215,0.5397705544933078,2012
58,14000US36005009300,0.22088780784432957,0.7433870477348739,0.7433870477348739,29.0,0.5129218607479477,0.4870781392520523,2012
59,14000US36005009600,0.15228837586067234,0.6269744835965978,0.6269744835965978,30.9,0.5196435803969218,0.4803564196030782,2012
60,14000US36005009800,0.2006282722513089,0.6873298429319372,0.6873298429319372,36.3,0.37801047120418846,0.6219895287958115,2012
61,14000US36005011502,0.23555262579652825,0.7466490881125027,0.7466490881125027,26.7,0.45220830586684246,0.5477916941331575,2012
62,14000US36005011700,0.2553324968632371,0.7314930991217063,0.7314930991217063,28.9,0.5144291091593476,0.48557089084065247,2012
63,14000US36005011800,0.012670565302144249,0.1908382066276803,0.1908382066276803,35.8,0.5360623781676414,0.46393762183235865,2012
64,14000US36005011900,0.2964516692885859,0.6888655829400454,0.6888655829400454,28.4,0.47334382101031286,0.5266561789896871,2012
65,14000US36005012101,0.13610459269192088,0.8280254777070064,0.8280254777070064,24.8,0.4646329198793161,0.5353670801206839,2012
66,14000US36005012102,0.2216142270861833,0.7626538987688098,0.7626538987688098,24.2,0.43980848153214774,0.5601915184678523,2012
67,14000US36005012300,0.2529313232830821,0.6850921273031826,0.6850921273031826,30.7,0.4704075935231714,0.5295924064768286,2012
68,14000US36005012500,0.4040084388185654,0.573048523206751,0.573048523206751,23.5,0.47811181434599154,0.5218881856540084,2012
69,14000US36005012701,0.25298804780876494,0.6499003984063745,0.6499003984063745,34.1,0.4626494023904382,0.5373505976095617,2012
70,14000US36005012901,0.2734584450402145,0.6395591301757522,0.6395591301757522,27.5,0.42597557342865655,0.5740244265713434,2012
