,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1,14000US36005000200,2019,51100.0,9,0.1736214605067064,1559.0,19,0.692436974789916,419200.0,20,0.7201704545454546,0.007281553398058253,0.1706408345752608,0.5127942681678608,0.4696464309539693,0.4256170780520347,0.009339559706470981,0.0,0.09539693128752502
2,14000US36005000400,2019,78409.0,11,0.37904015670910873,1314.0,18,0.7319034852546917,411600.0,20,0.8166047087980174,0.07015953589557651,0.10724779627815867,0.6555441478439425,0.7393495190105359,0.19606046724690793,0.038021071919377,0.005955107650022904,0.020613834173156206
3,14000US36005001600,2019,34093.0,5,0.2207001522070015,1030.0,17,0.43411764705882355,490000.0,20,0.9591836734693877,0.03656652360515021,0.2886859462201928,0.46966676160637993,0.12152777777777778,0.8561507936507936,0.010912698412698412,0.0,0.011408730158730158
4,14000US36005001900,2019,45156.0,8,0.16311399443929564,1344.0,18,0.6234309623430963,359600.0,19,0.8947368421052632,0.10824578159821713,0.2761816496756256,0.5366478728856996,0.09743589743589744,0.8247863247863247,0.03247863247863248,0.010256410256410256,0.03504273504273504
5,14000US36005002000,2019,20592.0,3,0.17742428877332517,527.0,9,0.11921458625525946,430000.0,20,0.8537170263788969,0.002323008849557522,0.514836341388804,0.23635699945245484,0.12444046553267682,0.8510892270963891,0.0035810205908683975,0.0,0.02088928678006565
6,14000US36005002300,2019,18688.0,2,0.3594566353187043,444.0,7,0.2464529689963216,,30,0.0,0.00023245002324500232,0.45193312434691746,0.2683369644153958,0.0,1.0,0.0,0.0,0.0
7,14000US36005002400,2019,,15,1.0,,30,0.0,,30,0.0,0.41935483870967744,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,14000US36005002500,2019,23115.0,3,0.15629742033383914,902.0,16,0.2504047490555855,616700.0,21,0.5416666666666666,0.0392156862745098,0.46383409205867476,0.2474747474747475,0.034220532319391636,0.9054182509505704,0.02709125475285171,0.0,0.03326996197718631
9,14000US36005002701,2019,18832.0,2,0.4563758389261745,443.0,7,0.13658536585365855,,30,0.0,0.0,0.48801534036433364,0.34652114597544337,0.0,0.9604051565377533,0.027624309392265192,0.0,0.011970534069981584
10,14000US36005002702,2019,13097.0,1,0.5986842105263158,921.0,16,0.1899518238128011,,30,0.0,0.007894736842105263,0.5888157894736842,0.2482213438735178,0.03594351732991014,0.9396662387676509,0.024390243902439025,0.0,0.0
11,14000US36005002800,2019,51138.0,9,0.3809110629067245,978.0,16,0.5650632911392405,282300.0,18,0.7393939393939394,0.009900990099009901,0.08373101952277658,0.6808402935965578,0.13585837793330588,0.8130918073281186,0.026759983532317826,0.0,0.02428983120625772
